# Metadata:
# Station A: Spring 1997 (May), Friedrich et al 2002
# Station B: Summer 1997 (August), Friedl et al 1998
#
Location,Latitude,Longitude,O₂,NH₄⁺ A,NH₄⁺ B,NO₃⁻ A,NO₃⁻ B,NO₂⁻ A,NO₂⁻ B,HPO₄²⁻ A,HPO₄²⁻ B,Si(OH)₄ A,Si(OH)₄ B
"Danube delta front BS 97-2",45.2028,29.8464,-22.6,0.44,1.46,-0.04,-0.12,0.01,0.01,0.15,0.00,1.93,1.76
"Danube delta front BS 95-17",45.2028,29.8464,-25.90,2.64,2.91,,,,,0.03,0.04,5.22,6.31
"Danube prodelta BS97-8",44.5840,29.1887,-13.36,1.68,1.18,-0.18,-0.17,0.03,0.03,-0.14,0.10,2.64,2.69
"Danube prodelta BS 95-22",44.5840,29.1887,0.00,0.11,0.14,,,,,0.03,0.01,0.32,0.93
"Dniestr mouth BS97-13",46.0489,30.4900,-19.61,1.08,1.24,0.13,0.16,0.05,0.07,0.00,0.04,2.51,3.22
"Dniestr mouth BS 95-11",46.0489,30.4900,,4.45,2.88,,,,,0.60,0.33,6.05,6.38
"Continental shelf BS 97-16",45.1619,31.0493,-16.00,0.16,-0.28,0.23,0.30,-0.04,-0.04,0.00,0.00,0.26,0.35
"Shelf edge BS 97–23",43.6978,30.0587,0.00,0.13,0.09,-0.13,-0.18,0.01,0.01,-0.03,0.00,0.77,0.14
"Shelf edge BS 95-26",43.6978,30.0587,-5.70,0.14,0.03,,,,,0.02,0.07,0.73,1.17
"Shelf edge BS 95-3",44.0063,30.4842,0.00,0.00,0.00,,,,,0.00,0.00,0.00,1.31
"Bay of Varna BS 95-13",43.2658,28.1293,233.30,0.30,0.08,,,,,0.06,0.08,2.31,6.66

